Timestamp,Millis,thumb_tm_aa,thumb_tm_flex,thumb_mcp_aa,thumb_mcp_flex,index_mcp_aa,index_mcp_flex,index_pip,middle_mcp_aa,middle_mcp_flex,middle_pip,ring_mcp_aa,ring_mcp_flex,ring_pip,little_mcp_aa,little_mcp_flex,little_pip
Mon Dec 02 20:47:46 2024,800,-18.489,-18.489,-2.972,-2.972,10.170,72.650,105.424,10.611,67.059,102.982,-3.091,55.847,75.217,18.336,0.220,5.973
Mon Dec 02 20:47:46 2024,805,-18.393,-18.393,-3.025,-3.025,9.946,72.387,105.100,10.416,66.986,102.231,-3.159,55.781,74.390,18.332,0.246,5.984
Mon Dec 02 20:47:46 2024,810,-18.283,-18.283,-3.053,-3.053,9.700,72.114,104.779,10.188,66.800,101.432,-3.181,55.698,73.565,18.388,0.247,6.023
Mon Dec 02 20:47:46 2024,815,-18.152,-18.152,-3.012,-3.012,9.429,71.861,104.524,9.909,66.354,100.636,-3.070,55.585,72.879,18.586,0.182,6.128
Mon Dec 02 20:47:46 2024,820,-18.035,-18.035,-2.996,-2.996,9.190,71.619,104.258,9.671,66.023,99.881,-3.014,55.491,72.209,18.724,0.139,6.207
Mon Dec 02 20:47:46 2024,825,-18.087,-18.087,-3.023,-3.023,8.839,71.253,103.973,9.182,65.566,99.262,-2.785,55.337,71.722,18.551,0.297,6.325
Mon Dec 02 20:47:46 2024,830,-18.095,-18.095,-3.037,-3.037,8.555,70.949,103.709,8.805,65.181,98.648,-2.691,55.216,71.235,18.469,0.393,6.426
Mon Dec 02 20:47:46 2024,835,-18.102,-18.102,-3.048,-3.048,8.357,70.733,103.517,8.540,64.909,98.204,2.666,55.133,70.889,18.411,0.460,6.499
Mon Dec 02 20:47:46 2024,840,-17.906,-17.906,-3.164,-3.164,8.792,70.760,102.828,9.472,65.083,97.048,2.880,55.734,69.486,18.130,0.674,6.290
Mon Dec 02 20:47:46 2024,845,-17.831,-17.831,-3.215,-3.215,8.886,70.683,102.467,9.734,65.042,96.395,3.062,55.948,68.794,17.996,0.786,6.238
Mon Dec 02 20:47:46 2024,850,-17.783,-17.783,-3.096,-3.096,8.465,70.090,101.865,10.162,65.055,95.087,3.068,55.528,67.174,18.154,0.570,5.934
Mon Dec 02 20:47:46 2024,855,-17.746,-17.746,-3.052,-3.052,8.295,69.805,101.512,10.414,65.054,94.353,3.124,55.383,66.311,18.200,0.493,5.786
Mon Dec 02 20:47:46 2024,860,-17.542,-17.542,-3.186,-3.186,8.356,69.532,100.821,10.890,65.284,92.815,3.173,54.982,64.396,18.351,0.368,5.493
Mon Dec 02 20:47:46 2024,865,-17.386,-17.386,-3.274,-3.274,8.363,69.265,100.228,11.299,65.454,91.527,3.234,54.659,62.851,18.473,0.259,5.249
Mon Dec 02 20:47:46 2024,870,-17.228,-17.228,-3.317,-3.317,8.657,69.661,98.991,12.353,65.378,89.268,3.341,53.547,60.134,18.689,0.042,5.089
Mon Dec 02 20:47:46 2024,875,-17.095,-17.095,-3.356,-3.356,8.897,69.969,97.974,13.220,65.337,87.414,3.460,52.659,58.014,18.870,-0.137,4.977
Mon Dec 02 20:47:46 2024,880,-16.754,-16.754,-3.458,-3.458,8.777,70.134,96.364,14.935,64.655,84.360,3.553,51.144,54.935,19.020,-0.152,4.936
Mon Dec 02 20:47:46 2024,885,-16.452,-16.452,-3.552,-3.552,8.608,70.232,94.978,16.429,64.053,81.614,3.645,49.846,52.454,19.124,-0.130,4.930
Mon Dec 02 20:47:46 2024,890,-16.118,-16.118,-3.660,-3.660,8.416,70.338,93.386,18.098,63.442,78.384,3.776,48.384,49.796,19.236,-0.104,4.940
Mon Dec 02 20:47:46 2024,895,-15.789,-15.789,-3.988,-3.988,8.225,69.575,90.910,19.119,62.196,72.835,3.801,46.713,45.718,19.432,-0.223,4.739
Mon Dec 02 20:47:46 2024,900,-15.525,-15.525,-4.207,-4.207,8.071,69.142,89.078,20.039,61.398,68.861,3.860,45.432,42.969,19.568,-0.287,4.629
Mon Dec 02 20:47:46 2024,905,-15.375,-15.375,-4.324,-4.324,8.611,68.368,87.016,21.044,59.456,64.962,3.389,42.975,39.882,19.611,-0.264,4.729
Mon Dec 02 20:47:46 2024,910,-15.189,-15.189,-4.470,-4.470,9.241,67.523,84.600,22.144,57.527,60.566,2.938,40.294,36.594,19.663,-0.242,4.841
Mon Dec 02 20:47:46 2024,915,-14.997,-14.997,-4.542,-4.542,10.036,66.684,82.371,22.693,55.695,56.996,2.732,38.172,34.295,19.586,-0.148,5.014
Mon Dec 02 20:47:46 2024,920,-14.728,-14.728,-4.528,-4.528,11.318,65.580,79.688,22.669,53.256,53.283,2.804,36.133,32.429,19.301,0.078,5.321
Mon Dec 02 20:47:46 2024,925,-14.518,-14.518,-4.539,-4.539,12.332,64.749,77.468,22.806,51.514,50.369,2.817,34.380,30.833,19.111,0.237,5.560
Mon Dec 02 20:47:46 2024,930,-14.219,-14.219,-4.262,-4.262,13.056,63.725,73.974,22.266,49.169,46.311,2.561,32.560,29.048,18.707,0.651,5.636
Mon Dec 02 20:47:46 2024,935,-13.990,-13.990,-4.090,-4.090,13.714,62.950,71.346,21.984,47.500,43.383,2.419,31.065,27.667,18.414,0.942,5.751
Mon Dec 02 20:47:46 2024,940,-13.842,-13.842,-3.921,-3.921,13.762,62.032,69.268,21.338,45.630,40.698,2.172,29.308,26.082,17.914,1.449,5.821
Mon Dec 02 20:47:46 2024,945,-13.723,-13.723,-3.782,-3.782,13.787,61.285,67.599,20.804,44.148,38.541,1.969,27.879,24.817,17.501,1.868,5.883
