Timestamp,Millis,thumb_tm_aa,thumb_tm_flex,thumb_mcp_aa,thumb_mcp_flex,index_mcp_aa,index_mcp_flex,index_pip,middle_mcp_aa,middle_mcp_flex,middle_pip,ring_mcp_aa,ring_mcp_flex,ring_pip,little_mcp_aa,little_mcp_flex,little_pip
Mon Dec 02 20:44:41 2024,5,-25.178,-25.178,0.739,0.739,0.614,20.650,8.837,5.144,25.313,13.112,-4.795,11.647,7.950,10.501,8.105,4.516
Mon Dec 02 20:44:41 2024,10,-25.178,-25.178,0.740,0.740,0.616,20.654,8.839,5.143,25.312,13.111,-4.796,11.649,7.949,10.501,8.105,4.516
Mon Dec 02 20:44:41 2024,15,-25.178,-25.178,0.740,0.740,0.618,20.658,8.840,5.143,25.310,13.109,-4.796,11.651,7.949,10.502,8.106,4.516
Mon Dec 02 20:44:41 2024,20,-25.178,-25.178,0.741,0.741,0.620,20.661,8.841,5.142,25.309,13.108,-4.796,11.653,7.949,10.502,8.106,4.516
Mon Dec 02 20:44:41 2024,25,-25.177,-25.177,0.742,0.742,0.622,20.665,8.843,5.141,25.308,13.106,-4.797,11.655,7.948,10.502,8.106,4.516
Mon Dec 02 20:44:41 2024,30,-25.177,-25.177,0.743,0.743,0.624,20.669,8.844,5.140,25.306,13.105,-4.797,11.657,7.948,10.503,8.106,4.516
Mon Dec 02 20:44:41 2024,35,-25.177,-25.177,0.743,0.743,0.626,20.672,8.845,5.139,25.305,13.103,-4.797,11.659,7.948,10.503,8.107,4.517
Mon Dec 02 20:44:41 2024,40,-25.177,-25.177,0.744,0.744,0.628,20.676,8.847,5.138,25.304,13.102,-4.797,11.661,7.947,10.503,8.107,4.517
Mon Dec 02 20:44:41 2024,45,-25.177,-25.177,0.745,0.745,0.630,20.680,8.848,5.138,25.302,13.100,-4.798,11.663,7.947,10.504,8.107,4.517
Mon Dec 02 20:44:41 2024,50,-25.177,-25.177,0.746,0.746,0.632,20.684,8.849,5.137,25.301,13.098,-4.798,11.665,7.947,10.504,8.107,4.517
Mon Dec 02 20:44:41 2024,55,-25.177,-25.177,0.746,0.746,0.634,20.687,8.851,5.136,25.300,13.097,-4.798,11.667,7.946,10.504,8.107,4.517
Mon Dec 02 20:44:41 2024,60,-25.177,-25.177,0.747,0.747,0.636,20.691,8.852,5.135,25.298,13.095,-4.798,11.669,7.946,10.505,8.108,4.517
Mon Dec 02 20:44:41 2024,65,-25.176,-25.176,0.748,0.748,0.638,20.695,8.853,5.134,25.297,13.094,-4.799,11.671,7.946,10.505,8.108,4.518
Mon Dec 02 20:44:41 2024,70,-25.176,-25.176,0.749,0.749,0.640,20.698,8.855,5.133,25.296,13.092,-4.799,11.674,7.945,10.505,8.108,4.518
Mon Dec 02 20:44:41 2024,75,-25.176,-25.176,0.749,0.749,0.642,20.702,8.856,5.133,25.294,13.091,-4.799,11.676,7.945,10.506,8.108,4.518
Mon Dec 02 20:44:41 2024,80,-25.176,-25.176,0.750,0.750,0.644,20.706,8.857,5.132,25.293,13.089,-4.800,11.678,7.945,10.506,8.109,4.518
Mon Dec 02 20:44:41 2024,85,-25.176,-25.176,0.751,0.751,0.646,20.710,8.859,5.131,25.292,13.088,-4.800,11.680,7.944,10.506,8.109,4.518
Mon Dec 02 20:44:41 2024,90,-25.176,-25.176,0.752,0.752,0.648,20.713,8.860,5.130,25.290,13.086,-4.800,11.682,7.944,10.507,8.109,4.518
Mon Dec 02 20:44:41 2024,95,-25.176,-25.176,0.752,0.752,0.650,20.717,8.861,5.129,25.289,13.085,-4.800,11.684,7.944,10.507,8.109,4.519
Mon Dec 02 20:44:41 2024,100,-25.176,-25.176,0.753,0.753,0.652,20.721,8.863,5.128,25.288,13.083,-4.801,11.686,7.943,10.507,8.110,4.519
Mon Dec 02 20:44:41 2024,105,-25.175,-25.175,0.754,0.754,0.654,20.724,8.864,5.128,25.287,13.082,-4.801,11.688,7.943,10.507,8.110,4.519
Mon Dec 02 20:44:41 2024,110,-25.175,-25.175,0.755,0.755,0.656,20.728,8.865,5.127,25.285,13.080,-4.801,11.690,7.943,10.508,8.110,4.519
Mon Dec 02 20:44:41 2024,115,-25.175,-25.175,0.755,0.755,0.658,20.732,8.867,5.126,25.284,13.079,-4.801,11.692,7.942,10.508,8.110,4.519
Mon Dec 02 20:44:41 2024,120,-25.175,-25.175,0.756,0.756,0.660,20.735,8.868,5.125,25.283,13.077,-4.802,11.694,7.942,10.508,8.110,4.519
Mon Dec 02 20:44:41 2024,125,-25.175,-25.175,0.757,0.757,0.662,20.739,8.869,5.124,25.281,13.076,-4.802,11.696,7.942,10.509,8.111,4.520
Mon Dec 02 20:44:41 2024,130,-25.175,-25.175,0.758,0.758,0.664,20.743,8.871,5.123,25.280,13.074,-4.802,11.698,7.941,10.509,8.111,4.520
Mon Dec 02 20:44:41 2024,135,-25.175,-25.175,0.758,0.758,0.666,20.747,8.872,5.123,25.279,13.073,-4.802,11.700,7.941,10.509,8.111,4.520
Mon Dec 02 20:44:41 2024,140,-25.175,-25.175,0.759,0.759,0.668,20.750,8.873,5.122,25.277,13.071,-4.803,11.702,7.941,10.510,8.111,4.520
Mon Dec 02 20:44:41 2024,145,-25.175,-25.175,0.760,0.760,0.670,20.754,8.875,5.121,25.276,13.070,-4.803,11.704,7.940,10.510,8.112,4.520
Mon Dec 02 20:44:41 2024,150,-25.174,-25.174,0.761,0.761,0.672,20.758,8.876,5.120,25.275,13.068,-4.803,11.706,7.940,10.510,8.112,4.520
Mon Dec 02 20:44:41 2024,155,-25.174,-25.174,0.761,0.761,0.674,20.761,8.877,5.119,25.273,13.067,-4.804,11.708,7.940,10.511,8.112,4.521
Mon Dec 02 20:44:41 2024,160,-25.174,-25.174,0.762,0.762,0.676,20.765,8.879,5.118,25.272,13.065,-4.804,11.710,7.939,10.511,8.112,4.521
Mon Dec 02 20:44:41 2024,165,-25.174,-25.174,0.763,0.763,0.678,20.769,8.880,5.118,25.271,13.064,-4.804,11.712,7.939,10.511,8.113,4.521
Mon Dec 02 20:44:41 2024,170,-25.174,-25.174,0.764,0.764,0.680,20.773,8.881,5.117,25.269,13.062,-4.804,11.715,7.939,10.512,8.113,4.521
Mon Dec 02 20:44:41 2024,175,-25.174,-25.174,0.764,0.764,0.682,20.776,8.883,5.116,25.268,13.061,-4.805,11.717,7.938,10.512,8.113,4.521
Mon Dec 02 20:44:41 2024,180,-25.174,-25.174,0.765,0.765,0.684,20.780,8.884,5.115,25.267,13.059,-4.805,11.719,7.938,10.512,8.113,4.521
Mon Dec 02 20:44:41 2024,185,-25.174,-25.174,0.766,0.766,0.686,20.784,8.885,5.114,25.265,13.058,-4.805,11.721,7.937,10.513,8.113,4.522
